file	t	f0	intensity
 2.wav	0.91	143.68871523916187	56.17195174153465
 2.wav	0.915	142.28402546969056	55.87399981743543
 2.wav	0.92	140.80447870284823	55.54961045613201
 2.wav	0.925	139.3028981799626	55.18711640553937
 2.wav	0.93	137.77376758741946	54.782978099779854
 2.wav	0.935	136.2166839297087	54.32911578536239
 2.wav	0.94	134.6225301678147	53.82767771768656
 2.wav	0.945	133.02663477769826	53.2759684783091
 2.wav	0.95	131.43730089694282	52.684330060953364
 2.wav	0.955	129.89466662973004	52.057813328426825
 2.wav	0.96	128.3707950914003	51.41747024354662
 2.wav	0.965	126.86199319264476	50.777332701669366
 2.wav	0.97	125.32901489541898	50.16283519186964
 2.wav	0.975	123.78230736321154	49.58252348895495
 2.wav	0.98	122.23692690256003	49.045133721630236
 2.wav	0.985	120.74830497593196	48.54090573717302
 2.wav	0.99	119.34477783828298	48.059660728931064
 2.wav	0.995	118.03243548279592	47.588003386933934
 2.wav	1	116.80867923114012	47.1231096505042
 2.wav	1.005	115.69386098031282	46.65818819097591
 2.wav	1.01	114.67100547728288	46.197717239387615
 2.wav	1.015	113.7249221348654	45.73657398584304
 2.wav	1.02	112.814683039726	45.2740486808052
 2.wav	1.025	111.96895189381262	44.803798457208195
 2.wav	1.03	111.21964565072174	44.32688233745003
 2.wav	1.035	110.57767459714842	43.83506636988451
 2.wav	1.04	110.01154546118494	43.32797878830884
 2.wav	1.045	109.51248570198698	42.78913027102006
 2.wav	1.05	109.10332605130111	42.206452354081605
 2.wav	1.055	108.79613142485495	41.5579818044754
 2.wav	1.06	108.52263931847249	40.83558496331995
 2.wav	1.065	108.17319972611905	40.03796790551018
 2.wav	1.07	107.6601173578961	39.19677382217831
 2.wav	1.075	107.02764965073564	38.352528195883046
 2.wav	1.08	106.31694489612939	37.57992482492317
 2.wav	1.085	105.54985087213439	36.94290046699308
 2.wav	1.09	104.68003301544431	36.490065220027084
 2.wav	1.095	103.78308155828383	36.21001055171871
 2.wav	1.1	103.0216977910124	36.07159387377518
 2.wav	1.105	102.62944796238604	36.022658382919516
 2.wav	1.11	102.60721699538473	36.01212875297146
 2.wav	1.115	102.78700420150021	36.006759373376696
 2.wav	1.12	102.93277881458725	35.97570623213917
 2.wav	1.125	102.93375465815521	35.90150634826299
 2.wav	1.13	102.77186145825434	35.768140342937194
 2.wav	1.135	102.5328704915062	35.56323215852458
