file	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	0.212	--undefined--	1096.489	2048.874	3083.883	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.917	1.8866076629893969	-0.5250704959461748	-3.7140897868313427	-4.667738050958698	10.71464541070423
 1.wav	0.217	--undefined--	1136.755	1839.875	2755.719	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	11.693	0.17721171756560533	-3.21847146004251	-5.3155563481559085	-5.662997150357222	10.723047116185342
 1.wav	0.222	--undefined--	1171.325	1598.938	2785.277	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.995	0.4043257767766498	-3.267618962238385	-3.4704904329170327	-4.123747513922548	10.751165071421783
 1.wav	0.227	--undefined--	1257.165	1756.788	2805.786	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.156	-0.10826271684280471	-3.385818662683213	-4.633461516407805	-5.187929227860123	10.780708070027167
 1.wav	0.232	--undefined--	1314.269	1921.057	2910.336	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.589	0.957436258583666	-1.3164108057331483	-5.157387834718565	-4.683204235140815	10.79605370903889
 1.wav	0.237	--undefined--	1117.325	1840.268	2982.3	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.395	0.8132814913873505	-0.7183240268433201	-4.419971474984789	-3.6367082848633787	10.78643259310184
 1.wav	0.242	--undefined--	1105.647	1733.371	2996.946	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.566	-1.881967493984872	-1.5244744484536596	-3.785968977895688	-4.568769099550122	10.747732337357919
 1.wav	0.247	--undefined--	1252.028	1737.26	2799.95	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.02	1.3434722687606804	-2.1585505750544027	-4.285229345461637	-4.55646429317559	10.683163030589586
 1.wav	0.252	--undefined--	1180.277	1813.293	2618.779	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.193	3.6607956113806557	-3.0744694777694175	-4.6772527110001585	-5.464979840379237	10.601910217355135
 1.wav	0.257	--undefined--	1095.151	2184.557	2706.771	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	16.074	-2.5916410059079373	-2.936596534408931	-3.6782092917305844	-4.899667110759756	10.520457753871213
