file	label	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	a	0.808	145.55496294882738	829.155	1407.653	2837.25	78.34600922006821	78.24137737922955	73.33911663608598	64.16314150964155	62.35990551296041	76.44395395403127	63.495033640063376	59.803911738652246	78.71124470212348	79.76319285169572	80.85051797392484	93.66872652845787	86.40358900311072	73.92661481577346	42.600568187629285	47.27684138589908	120.5688276720946	0.10463184083866395	4.902260743143572	14.182867710426663	15.986103707107802	1.902055266036939	3.6911219014111296	-1.0519481495722403	-1.0873251222291174	-14.957481826334387	-7.692344300987244	4.784629886350018	27.865	23.06953722464624	12.729080707462392	12.46454059647677	12.237103699325552	57.77140216488892
 1.wav	a	0.813	144.4690053736079	831.79	1412.846	2838.034	78.08696582482006	78.15251150394927	72.70153033668517	64.46947304871529	62.43581043074926	76.70887458281454	64.07470179692909	56.80815230961926	78.44431466945616	79.64010295372749	79.99873852411461	94.02108732793103	86.5087177080099	74.3487879626184	42.48773775561083	47.22051052817656	120.27556388849831	-0.06554567912921527	5.4509811672641035	13.617492776104768	15.651155394070798	1.3780912420055103	7.266549487309831	-1.1957882842713303	-0.358635570387122	-15.576772658474866	-8.064403038553735	4.095526706837759	24.496	21.210572026817225	12.939808088250043	12.7828317021498	12.290206714527663	57.67632773593704
 1.wav	a	0.818	143.2739504382877	833.396	1412.907	2830.864	77.81528059584744	77.97876766225431	72.35693015730062	64.38398982014803	62.755075015242916	76.56936991356055	64.39803364134842	54.01299771911128	78.16564544561385	79.43602045987612	79.46408991053553	93.99663776453538	86.90683030433516	74.40107406198192	42.35671994357949	47.06667100247881	119.29023705787628	-0.16348706640687283	5.621837504953689	13.43129077569941	15.060205580604524	1.2459106822868904	10.385035922237137	-1.270375014262271	-0.028069450659415907	-15.830992318921531	-8.741184858721311	3.7645713836319317	25.748	21.337322078737053	12.419014177477932	12.184278937748731	11.853059326703814	57.51766407488403
 1.wav	a	0.823	141.96147487974702	838.382	1414.489	2815.493	77.51469888420539	77.89136206936695	71.78211290448905	63.97784906420809	62.90994471295893	75.91353373715364	62.67327564117012	52.26657333369254	77.8553360756896	79.30637626985316	78.62669775348157	93.71386059789862	87.2275222175204	74.18707563935611	42.22915398095477	46.922298073826084	117.6025335436949	-0.3766631851615614	6.109249164877895	13.5368498199973	14.604754171246455	1.601165147051745	10.40670230747758	-1.4510401941635536	0.6796785163715953	-15.85852452220901	-9.372186141830795	3.6682604363334974	23.519	20.102434398753502	9.813599318989747	9.506584195211836	9.160833936201598	57.27946990769448
 1.wav	a	0.828	140.55220297603947	845.115	1418.274	2794.273	77.1985129425444	77.85303007319047	71.32187727548313	63.29680636787046	62.65925280818156	75.73499005082996	60.93462340882162	53.49155843421251	77.52791320493861	79.21940867851463	77.87088261137544	93.17989905292946	87.16569744351914	74.63514785277474	42.09855042686105	46.80121898094807	115.42913994559095	-0.6545171306460702	6.531152797707335	13.901706574673938	14.539260134362834	1.4635228917144332	7.443064974609115	-1.691495473576012	1.3485260671391899	-15.651985847990844	-9.637784238580522	2.8927653521638774	24.002	20.364514066648965	9.813806543647669	9.549648874142076	9.234698562760162	56.94943372409891
 1.wav	a	0.833	139.0583912501231	855.404	1429.664	2791.714	76.87150976449877	77.79939093815747	70.7438556482952	62.14534870378533	61.30997099739601	74.49439700891358	59.876666404348484	57.46226597085527	77.18677685306494	79.10489214211316	76.93418505364671	92.19900342690039	85.99852755535599	73.89577459862113	41.974701237507965	46.795538350139886	114.74587943263384	-0.9278811736587045	7.055535289862277	14.726161060713437	15.56153876710276	2.3771127555851876	2.4144004334932134	-1.9181152890482167	2.1707070884664432	-15.012226573835449	-8.81175070229105	3.2910022544438107	22.377	19.761651597593797	8.164725545176825	7.710027398258665	7.407098760536298	56.52786713738199
 1.wav	a	0.838	137.51760546606408	862.029	1436.783	2793.648	76.5312457922923	77.62516069809028	70.1980910118289	60.57938859042865	58.84789399185303	70.89850207445198	56.91202671492945	58.582288515197256	76.83517746537446	78.8820135122775	76.10866672336155	90.75775717478821	83.66961225338986	70.56738126438705	41.82649702605292	46.71461866712485	114.4077482568967	-1.0939149057979876	7.42706968626139	15.951857201863646	17.68335180043927	5.632743717840313	-1.6702618002678022	-2.0468360469030387	2.773346788915944	-13.922579709413753	-6.8344347880154	6.267796200987405	18.609	17.168618809494745	6.174228493746224	5.885794177449054	5.711545478961225	56.01544446417144
 1.wav	a	0.843	135.8992264749423	867.996	1443.209	2789.73	76.22134822782758	77.50670604019429	69.33628558421138	58.7750606631963	59.01503052432405	70.7316767258991	54.25954043715343	56.18136828691149	76.51437984503602	78.7169169400099	74.98379920165502	89.07096452598374	83.96114936612094	70.74873836252597	41.66547842079538	46.612708743850874	113.57888239954968	-1.285357812366712	8.170420455982907	17.446287564631277	17.20631770350353	5.48967150192847	-1.9218278497580599	-2.202537094973877	3.7331177383548777	-12.556584680947722	-7.446769521084917	5.765641482510048	19.61	17.474429209231747	6.005367437683802	5.799245315503877	5.651064901035797	55.426333756822174
 1.wav	a	0.848	134.1670253377623	870.26	1445.708	2775.136	75.88511079652103	77.21831075348503	68.24083636599336	58.747781982727645	59.06101408720922	70.48041696972737	52.55041678499673	51.010381016109235	76.16928724620104	78.39074993820638	73.67941917602576	89.11518421465446	84.08051834639889	70.89618343376272	41.47331225779629	46.42870459302786	111.87781869707975	-1.3331999569639947	8.977474387491668	17.13732881379339	16.82409670931181	5.404693826793661	1.540035768887492	-2.221462692005346	4.711330762180623	-12.945896968453425	-7.911231100197853	5.273103812438322	17.155	18.453920808298015	5.010979060103921	4.718420536940434	4.445187501006992	54.765679488848605
 1.wav	a	0.853	132.2563975426109	865.681	1436.179	2777.799	75.64345120920729	76.80713678757535	67.17059499713314	58.890233389832254	58.23322894136791	68.20919451104902	55.13627782595517	42.94586211355952	75.92266396366107	77.95842089499588	72.49291382800817	89.27629454168512	83.30825657984371	68.3646624109335	41.22816624018355	46.01706556269739	111.48214460053387	-1.1636855783680602	9.636541790442209	16.75321781937503	17.410222267839373	7.434256698158265	12.190415712395648	-2.0357569313348165	5.465507066987712	-13.353630578024053	-7.385592616182649	7.558001552727561	17.445	16.05544328232178	5.872720203969718	5.563622072650744	5.411326158347328	54.0466978044108
